image,well,dapi_n,neuron,CELLNUMBERSEEDED,hydrogen_peroxide,neuron_n,axon_seg_count,axon_seg_area,axon_seg_av_size,per_neuron_axon_seg_count,per_neuron_axon_seg_area
10-20191128-DMV-XII-H2O2,A01,2105,DMV,6400,0,48,5813,134638,23.162,121.10416666666667,2804.9583333333335
10-20191128-DMV-XII-H2O2,A02,1820,DMV,6400,0,43,6052,116817,19.302,140.74418604651163,2716.6744186046512
10-20191128-DMV-XII-H2O2,A03,2842,DMV,6400,0,39,6807,173936,25.553,174.53846153846155,4459.897435897436
10-20191128-DMV-XII-H2O2,A06,1638,DMV,6400,100,28,2219,37706,16.992,79.25,1346.642857142857
10-20191128-DMV-XII-H2O2,A07,1996,DMV,6400,100,55,4638,111744,24.093,84.32727272727273,2031.709090909091
10-20191128-DMV-XII-H2O2,A08,1382,DMV,6400,150,25,1764,20093,11.391,70.56,803.72
10-20191128-DMV-XII-H2O2,A09,1666,DMV,6400,150,42,3680,46795,12.716,87.61904761904762,1114.1666666666667
10-20191128-DMV-XII-H2O2,A10,1604,DMV,6400,150,38,3255,31525,9.685,85.65789473684211,829.6052631578947
10-20191128-DMV-XII-H2O2,A11,1524,DMV,6400,200,28,2818,24801,8.801,100.64285714285714,885.75
10-20191128-DMV-XII-H2O2,A12,2147,DMV,6400,200,46,3963,53996,13.625,86.15217391304348,1173.8260869565217
10-20191128-DMV-XII-H2O2,B01,1970,DMV,6400,0,31,6844,150495,21.989,220.7741935483871,4854.677419354839
10-20191128-DMV-XII-H2O2,B02,2067,DMV,6400,0,53,7741,205527,26.55,146.0566037735849,3877.867924528302
10-20191128-DMV-XII-H2O2,B03,2296,DMV,6400,0,58,6482,130813,20.181,111.75862068965517,2255.396551724138
10-20191128-DMV-XII-H2O2,B06,1620,DMV,6400,100,30,4551,76216,16.747,151.7,2540.5333333333333
10-20191128-DMV-XII-H2O2,B07,1350,DMV,6400,100,28,2120,48616,22.932,75.71428571428571,1736.2857142857142
10-20191128-DMV-XII-H2O2,B08,1350,DMV,6400,150,32,2180,23390,10.729,68.125,730.9375
10-20191128-DMV-XII-H2O2,B09,1242,DMV,6400,150,16,2271,24216,10.663,141.9375,1513.5
10-20191128-DMV-XII-H2O2,B10,1567,DMV,6400,150,40,4051,42488,10.488,101.275,1062.2
10-20191128-DMV-XII-H2O2,B11,1026,DMV,6400,200,14,2323,20497,8.824,165.92857142857142,1464.0714285714287
10-20191128-DMV-XII-H2O2,B12,2100,DMV,6400,200,46,4863,50217,10.326,105.71739130434783,1091.6739130434783
10-20191128-DMV-XII-H2O2,C01,1811,DMV,6400,0,60,7457,208064,27.902,124.28333333333333,3467.733333333333
10-20191128-DMV-XII-H2O2,C02,1819,DMV,6400,0,43,5733,120475,21.014,133.32558139534885,2801.7441860465115
10-20191128-DMV-XII-H2O2,C03,1755,DMV,6400,0,46,5188,98685,19.022,112.78260869565217,2145.3260869565215
10-20191128-DMV-XII-H2O2,C06,2031,DMV,6400,100,33,3152,44033,13.97,95.51515151515152,1334.3333333333333
10-20191128-DMV-XII-H2O2,C07,1613,DMV,6400,100,40,3339,47829,14.324,83.475,1195.725
10-20191128-DMV-XII-H2O2,C08,1111,DMV,6400,150,18,1869,19855,10.623,103.83333333333333,1103.0555555555557
10-20191128-DMV-XII-H2O2,C09,1544,DMV,6400,150,28,3393,32571,9.599,121.17857142857143,1163.25
10-20191128-DMV-XII-H2O2,C10,1260,DMV,6400,150,42,3518,32939,9.363,83.76190476190476,784.2619047619048
10-20191128-DMV-XII-H2O2,C11,1322,DMV,6400,200,32,3380,29483,8.723,105.625,921.34375
10-20191128-DMV-XII-H2O2,C12,2222,DMV,6400,200,30,3402,33180,9.753,113.4,1106
10-20191128-DMV-XII-H2O2,D01,1498,DMV,6400,0,39,5267,93538,17.759,135.05128205128204,2398.4102564102564
10-20191128-DMV-XII-H2O2,D02,1830,DMV,6400,0,68,6277,149036,23.743,92.30882352941177,2191.705882352941
10-20191128-DMV-XII-H2O2,D03,1273,DMV,6400,0,36,3900,64076,16.43,108.33333333333333,1779.888888888889
10-20191128-DMV-XII-H2O2,D06,1380,DMV,6400,100,35,2763,46211,16.725,78.94285714285714,1320.3142857142857
10-20191128-DMV-XII-H2O2,D07,1436,DMV,6400,100,43,3130,48393,15.461,72.79069767441861,1125.4186046511627
10-20191128-DMV-XII-H2O2,D08,1239,DMV,6400,150,31,2374,25572,10.772,76.58064516129032,824.9032258064516
10-20191128-DMV-XII-H2O2,D09,1065,DMV,6400,150,24,1850,18214,9.845,77.08333333333333,758.9166666666666
10-20191128-DMV-XII-H2O2,D10,1381,DMV,6400,150,35,3389,34255,10.108,96.82857142857142,978.7142857142857
10-20191128-DMV-XII-H2O2,D11,2241,DMV,6400,200,28,3646,35240,9.665,130.21428571428572,1258.5714285714287
10-20191128-DMV-XII-H2O2,D12,1597,DMV,6400,200,27,3490,29231,8.376,129.25925925925927,1082.6296296296296
10-20191128-DMV-XII-H2O2,E01,1662,XII,1950,0,8,887,19393,21.864,110.875,2424.125
10-20191128-DMV-XII-H2O2,E02,1980,XII,1950,0,9,823,14412,17.512,91.44444444444444,1601.3333333333333
10-20191128-DMV-XII-H2O2,E03,1418,XII,1950,0,4,621,10639,17.132,155.25,2659.75
10-20191128-DMV-XII-H2O2,E06,1149,XII,1950,100,4,189,2051,10.852,47.25,512.75
10-20191128-DMV-XII-H2O2,E07,1189,XII,1950,100,4,223,1896,8.502,55.75,474
10-20191128-DMV-XII-H2O2,E08,981,XII,1950,150,3,120,712,5.933,40,237.33333333333334
10-20191128-DMV-XII-H2O2,E09,1321,XII,1950,150,3,196,2218,11.316,65.33333333333333,739.3333333333334
10-20191128-DMV-XII-H2O2,E10,1252,XII,1950,150,3,246,2105,8.557,82,701.6666666666666
10-20191128-DMV-XII-H2O2,E11,1420,XII,1950,200,4,247,1425,5.769,61.75,356.25
10-20191128-DMV-XII-H2O2,E12,1394,XII,1950,200,5,136,1366,10.044,27.2,273.2
10-20191128-DMV-XII-H2O2,F01,1031,XII,1950,0,6,629,11136,17.704,104.83333333333333,1856
10-20191128-DMV-XII-H2O2,F02,2147,XII,1950,0,6,641,9567,14.925,106.83333333333333,1594.5
10-20191128-DMV-XII-H2O2,F03,1400,XII,1950,0,5,494,5064,10.251,98.8,1012.8
10-20191128-DMV-XII-H2O2,F06,1439,XII,1950,100,7,183,1547,8.454,26.142857142857142,221
10-20191128-DMV-XII-H2O2,F08,1115,XII,1950,150,3,281,2521,8.972,93.66666666666667,840.3333333333334
10-20191128-DMV-XII-H2O2,F09,1267,XII,1950,150,7,272,1761,6.474,38.857142857142854,251.57142857142858
10-20191128-DMV-XII-H2O2,F10,1376,XII,1950,150,7,324,3282,10.13,46.285714285714285,468.85714285714283
10-20191128-DMV-XII-H2O2,F11,589,XII,1950,200,2,184,980,5.326,92,490
10-20191128-DMV-XII-H2O2,F12,1525,XII,1950,200,2,155,1825,11.774,77.5,912.5
10-20191128-DMV-XII-H2O2,G01,1743,XII,1950,0,2,764,11736,15.361,382,5868
10-20191128-DMV-XII-H2O2,G03,1769,XII,1950,0,2,436,6073,13.929,218,3036.5
10-20191128-DMV-XII-H2O2,G06,1303,XII,1950,100,10,632,18480,29.241,63.2,1848
10-20191128-DMV-XII-H2O2,G07,1380,XII,1950,100,2,143,1300,9.091,71.5,650
10-20191128-DMV-XII-H2O2,G08,1178,XII,1950,150,6,486,7760,15.967,81,1293.3333333333333
10-20191128-DMV-XII-H2O2,G09,1653,XII,1950,150,3,165,1464,8.873,55,488
10-20191128-DMV-XII-H2O2,G10,1176,XII,1950,150,3,323,2404,7.443,107.66666666666667,801.3333333333334
10-20191128-DMV-XII-H2O2,G11,1731,XII,1950,200,3,169,1686,9.976,56.333333333333336,562
10-20191128-DMV-XII-H2O2,G12,1246,XII,1950,200,1,212,1742,8.217,212,1742
10-20191128-DMV-XII-H2O2,H01,2084,XII,1950,0,3,736,9834,13.361,245.33333333333334,3278
10-20191128-DMV-XII-H2O2,H02,1798,XII,1950,0,3,533,5805,10.891,177.66666666666666,1935
10-20191128-DMV-XII-H2O2,H03,1790,XII,1950,0,11,758,18977,25.036,68.9090909090909,1725.1818181818182
10-20191128-DMV-XII-H2O2,H06,1654,XII,1950,100,4,232,2444,10.534,58,611
10-20191128-DMV-XII-H2O2,H07,2076,XII,1950,100,6,166,2921,17.596,27.666666666666668,486.8333333333333
10-20191128-DMV-XII-H2O2,H08,1316,XII,1950,150,2,380,2646,6.963,190,1323
10-20191128-DMV-XII-H2O2,H09,1485,XII,1950,150,11,281,4284,15.246,25.545454545454547,389.45454545454544
10-20191128-DMV-XII-H2O2,H10,912,XII,1950,150,3,223,1765,7.915,74.33333333333333,588.3333333333334
10-20191128-DMV-XII-H2O2,H11,1606,XII,1950,200,2,283,2309,8.159,141.5,1154.5
10-20191128-DMV-XII-H2O2,H12,2203,XII,1950,200,6,136,1355,9.963,22.666666666666668,225.83333333333334
12-290191206-SN-VTA-H2O2,A01,2196,VTA,8300,0,29,3281,35109,10.701,113.13793103448276,1210.655172413793
12-290191206-SN-VTA-H2O2,A02,2272,VTA,8300,0,24,3537,35924,10.157,147.375,1496.8333333333333
12-290191206-SN-VTA-H2O2,A03,2611,VTA,8300,0,9,4800,45133,9.403,533.3333333333334,5014.777777777777
12-290191206-SN-VTA-H2O2,A07,2447,VTA,8300,100,4,2936,22890,7.796,734,5722.5
12-290191206-SN-VTA-H2O2,A08,1777,VTA,8300,150,2,1550,9409,6.07,775,4704.5
12-290191206-SN-VTA-H2O2,A11,2376,VTA,8300,200,7,2150,12033,5.597,307.14285714285717,1719
12-290191206-SN-VTA-H2O2,A12,2621,VTA,8300,200,1,1687,10074,5.972,1687,10074
12-290191206-SN-VTA-H2O2,B01,2228,VTA,8300,0,15,3446,32798,9.518,229.73333333333332,2186.5333333333333
12-290191206-SN-VTA-H2O2,B02,2364,VTA,8300,0,12,4115,42089,10.228,342.9166666666667,3507.4166666666665
12-290191206-SN-VTA-H2O2,B03,1940,VTA,8300,0,13,3313,29615,8.939,254.84615384615384,2278.076923076923
12-290191206-SN-VTA-H2O2,B06,1890,VTA,8300,100,5,1921,11677,6.079,384.2,2335.4
12-290191206-SN-VTA-H2O2,B07,1602,VTA,8300,100,9,2123,14312,6.741,235.88888888888889,1590.2222222222222
12-290191206-SN-VTA-H2O2,B08,1191,VTA,8300,150,2,1549,8803,5.683,774.5,4401.5
12-290191206-SN-VTA-H2O2,B09,1632,VTA,8300,150,2,1962,9971,5.082,981,4985.5
12-290191206-SN-VTA-H2O2,B10,1494,VTA,8300,150,1,1973,9271,4.699,1973,9271
12-290191206-SN-VTA-H2O2,B11,1677,VTA,8300,200,2,1678,8573,5.109,839,4286.5
12-290191206-SN-VTA-H2O2,B12,2929,VTA,8300,200,4,2286,14104,6.17,571.5,3526
12-290191206-SN-VTA-H2O2,C01,2277,VTA,8300,0,11,3840,36305,9.454,349.09090909090907,3300.4545454545455
12-290191206-SN-VTA-H2O2,C02,1954,VTA,8300,0,12,3912,34227,8.749,326,2852.25
12-290191206-SN-VTA-H2O2,C03,2149,VTA,8300,0,11,3399,30902,9.091,309,2809.2727272727275
12-290191206-SN-VTA-H2O2,C06,1973,VTA,8300,100,6,2248,13811,6.144,374.6666666666667,2301.8333333333335
12-290191206-SN-VTA-H2O2,C07,1649,VTA,8300,100,5,1609,10674,6.634,321.8,2134.8
12-290191206-SN-VTA-H2O2,C08,1295,VTA,8300,150,2,1046,5357,5.121,523,2678.5
12-290191206-SN-VTA-H2O2,C09,1588,VTA,8300,150,3,2095,9870,4.711,698.3333333333334,3290
12-290191206-SN-VTA-H2O2,C10,1601,VTA,8300,150,3,1451,8376,5.773,483.6666666666667,2792
12-290191206-SN-VTA-H2O2,C11,1664,VTA,8300,200,2,2272,10443,4.596,1136,5221.5
12-290191206-SN-VTA-H2O2,C12,4579,VTA,8300,200,2,2353,12294,5.225,1176.5,6147
12-290191206-SN-VTA-H2O2,D01,2031,VTA,8300,0,16,2513,22677,9.024,157.0625,1417.3125
12-290191206-SN-VTA-H2O2,D02,5911,VTA,8300,0,28,3249,40035,12.322,116.03571428571429,1429.8214285714287
12-290191206-SN-VTA-H2O2,D03,4641,VTA,8300,0,10,3167,28820,9.1,316.7,2882
12-290191206-SN-VTA-H2O2,D06,1712,VTA,8300,100,2,1995,14039,7.037,997.5,7019.5
12-290191206-SN-VTA-H2O2,D07,1980,VTA,8300,100,4,1786,13316,7.456,446.5,3329
12-290191206-SN-VTA-H2O2,D08,1794,VTA,8300,150,4,1897,12781,6.737,474.25,3195.25
12-290191206-SN-VTA-H2O2,D10,1865,VTA,8300,150,3,2328,15954,6.853,776,5318
12-290191206-SN-VTA-H2O2,D11,1561,VTA,8300,200,1,2021,11366,5.624,2021,11366
12-290191206-SN-VTA-H2O2,D12,3409,VTA,8300,200,3,2521,15577,6.179,840.3333333333334,5192.333333333333
12-290191206-SN-VTA-H2O2,E01,1622,SN,12600,0,5,540,5277,9.772,108,1055.4
12-290191206-SN-VTA-H2O2,E02,2086,SN,12600,0,7,1228,9939,8.094,175.42857142857142,1419.857142857143
12-290191206-SN-VTA-H2O2,E03,2035,SN,12600,0,5,787,6658,8.46,157.4,1331.6
12-290191206-SN-VTA-H2O2,E06,1715,SN,12600,100,1,439,2522,5.745,439,2522
12-290191206-SN-VTA-H2O2,E07,1706,SN,12600,100,2,446,2725,6.11,223,1362.5
12-290191206-SN-VTA-H2O2,F01,1604,SN,12600,0,6,650,7084,10.898,108.33333333333333,1180.6666666666667
12-290191206-SN-VTA-H2O2,F02,2106,SN,12600,0,4,873,7775,8.906,218.25,1943.75
12-290191206-SN-VTA-H2O2,F03,1810,SN,12600,0,3,750,6221,8.295,250,2073.6666666666665
12-290191206-SN-VTA-H2O2,F06,1328,SN,12600,100,2,300,2404,8.013,150,1202
12-290191206-SN-VTA-H2O2,G01,1984,SN,12600,0,1,503,4389,8.726,503,4389
12-290191206-SN-VTA-H2O2,G02,1721,SN,12600,0,3,580,4755,8.198,193.33333333333334,1585
12-290191206-SN-VTA-H2O2,G03,1848,SN,12600,0,2,409,3559,8.702,204.5,1779.5
12-290191206-SN-VTA-H2O2,H01,2416,SN,12600,0,1,548,4241,7.739,548,4241
12-290191206-SN-VTA-H2O2,H02,2799,SN,12600,0,6,697,8666,12.433,116.16666666666667,1444.3333333333333
12-290191206-SN-VTA-H2O2,H03,2781,SN,12600,0,4,762,7374,9.677,190.5,1843.5
12-290191206-SN-VTA-H2O2,H07,1556,SN,12600,100,2,444,3516,7.919,222,1758
2020-006,A02,8972,SN,11000,0,229,40791,810812,19.877,178.12663755458516,3540.6637554585154
2020-006,A03,8888,SN,11000,0,140,35349,630327,17.832,252.49285714285713,4502.335714285714
2020-006,A04,8558,SN,11000,0,98,32096,595548,18.555,327.51020408163265,6077.0204081632655
2020-006,A05,8343,VTA,18000,0,358,78925,1919980,24.327,220.4608938547486,5363.072625698324
2020-006,A06,9070,VTA,18000,0,395,81395,1991566,24.468,206.0632911392405,5041.939240506329
2020-006,A07,8903,VTA,18000,0,415,77823,1966571,25.27,187.52530120481927,4738.7253012048195
2020-006,A08,8510,VTA,18000,0,389,71703,1745145,24.339,184.32647814910027,4486.233933161954
2020-006,B01,7807,SN,11000,0,129,19372,174738,9.02,150.1705426356589,1354.5581395348838
2020-006,B02,9749,SN,11000,0,234,39406,641698,16.284,168.4017094017094,2742.2991452991455
2020-006,B03,9721,SN,11000,0,124,48058,843762,17.557,387.56451612903226,6804.532258064516
2020-006,B04,9703,SN,11000,0,143,50548,888694,17.581,353.4825174825175,6214.643356643357
2020-006,B05,8739,VTA,18000,0,353,87562,2062651,23.556,248.05099150141643,5843.203966005665
2020-006,B06,9625,VTA,18000,0,360,84306,1897316,22.505,234.18333333333334,5270.322222222222
2020-006,B07,9405,VTA,18000,0,371,84713,1891976,22.334,228.33692722371967,5099.66576819407
2020-006,B08,9262,VTA,18000,0,322,87076,1906299,21.892,270.4223602484472,5920.183229813664
2020-006,C01,9160,SN,11000,100,123,34564,638698,18.479,281.0081300813008,5192.666666666667
2020-006,C02,9275,SN,11000,100,118,44115,722841,16.385,373.85593220338984,6125.771186440678
2020-006,C03,9213,SN,11000,100,102,45808,766681,16.737,449.0980392156863,7516.480392156863
2020-006,C04,9118,SN,11000,100,139,49337,797775,16.17,354.9424460431655,5739.3884892086335
2020-006,C05,9180,VTA,18000,100,374,83038,1862750,22.433,222.02673796791444,4980.614973262032
2020-006,C06,9061,VTA,18000,100,396,86150,1948029,22.612,217.55050505050505,4919.265151515152
2020-006,C07,9023,VTA,18000,100,341,87193,1927525,22.106,255.69794721407624,5652.5659824046925
2020-006,C08,8549,VTA,18000,100,371,80636,1787572,22.168,217.3477088948787,4818.253369272237
2020-006,D01,9488,SN,11000,100,112,40067,692730,17.289,357.74107142857144,6185.089285714285
2020-006,D02,9724,SN,11000,100,124,39167,635167,16.217,315.86290322580646,5122.314516129032
2020-006,D03,9012,SN,11000,100,130,42382,666965,15.737,326.0153846153846,5130.5
2020-006,D04,9103,SN,11000,100,120,37366,608912,16.296,311.3833333333333,5074.266666666666
2020-006,D05,8207,VTA,18000,100,344,66364,1449409,21.84,192.91860465116278,4213.398255813953
2020-006,D06,9538,VTA,18000,100,350,77001,1611764,20.932,220.00285714285715,4605.04
2020-006,D07,8596,VTA,18000,100,300,73145,1505195,20.578,243.81666666666666,5017.316666666667
2020-006,D08,8652,VTA,18000,100,320,77604,1584745,20.421,242.5125,4952.328125
2020-006,E05,8785,VTA,18000,150,337,57566,1237291,21.493,170.81899109792286,3671.486646884273
2020-006,E06,8344,VTA,18000,150,355,70571,1512185,21.428,198.79154929577464,4259.6760563380285
2020-006,E07,8337,VTA,18000,150,315,54511,1170014,21.464,173.05079365079365,3714.330158730159
2020-006,E08,7930,VTA,18000,150,334,74834,1496257,19.994,224.05389221556885,4479.811377245509
2020-006,F05,8670,VTA,18000,150,293,65519,1313272,20.044,223.61433447098977,4482.15699658703
2020-006,F06,9029,VTA,18000,150,299,70120,1346645,19.205,234.51505016722408,4503.829431438127
2020-006,F07,8435,VTA,18000,150,293,72686,1433362,19.72,248.07508532423208,4892.020477815699
2020-006,F08,8395,VTA,18000,150,329,67891,1410360,20.774,206.35562310030394,4286.808510638298
2020-006,G05,8907,VTA,18000,200,346,46572,915823,19.665,134.60115606936415,2646.8872832369943
2020-006,G06,8668,VTA,18000,200,361,52031,1023209,19.665,144.13019390581718,2834.3739612188365
2020-006,G07,8080,VTA,18000,200,317,46481,934459,20.104,146.62776025236593,2947.820189274448
2020-006,G08,8419,VTA,18000,200,402,41572,841344,20.238,103.41293532338308,2092.89552238806
2020-006,H05,8656,VTA,18000,200,357,34120,708128,20.754,95.57422969187675,1983.5518207282912
2020-006,H06,8998,VTA,18000,200,331,40696,988224,24.283,122.94864048338368,2985.570996978852
2020-006,H07,7685,VTA,18000,200,399,34316,771816,22.491,86.00501253132832,1934.375939849624
2020-006,H08,8646,VTA,18000,200,408,44606,1064811,23.871,109.32843137254902,2609.830882352941
2020-018,A01,13895,STR,NA,0,14,2200,30398,13.817,157.14285714285714,2171.285714285714
2020-018,A02,12931,STR,NA,0,27,3381,45944,13.589,125.22222222222223,1701.6296296296296
