Count,Total Area,Average Size,%Area,neuron_number,neuron,axon_area_per_neuron,count_per_neuron
1652,63087,38.188,0.394,1,DMV,63087,1652
814,53004,65.115,0.331,1,LC,53004,814
1094,46894,42.865,0.293,1,LC,46894,1094
2062,77341,37.508,0.483,1,R,77341,2062
820,25720,31.366,0.161,1,R,25720,820
700,24520,35.029,0.153,1,R,24520,700
700,24520,35.029,0.153,1,R,24520,700
700,24520,35.029,0.153,1,R,24520,700
1029,26449,25.704,0.165,1,R,26449,1029
925,22612,24.445,0.141,1,R,22612,925
400,7620,11.55,0.029,1,SN,7620,400
616,9771,9.856,0.038,1,SN,9771,616
922,9247,10.029,0.058,1,SN,9247,922
515,6013,11.676,0.038,1,SN,6013,515
823,23159,18.419,0.095,1,SN,23159,823
971,11087,11.418,0.069,1,SN,11087,971
971,22087,11.418,0.069,1,SN,22087,971
1542,46687,13.416,0.129,1,SN,46687,1542
710,6999,9.858,0.044,1,SN,6999,710
2024,41493,20.5,0.259,1,STR,41493,2024
512,13416,26.203,0.084,1,STR,13416,512
594,19011,32.005,0.119,1,STR,19011,594
1017,27906,27.44,0.174,1,STR,27906,1017
1001,27649,27.621,0.173,1,STR,27649,1001
1078,28752,26.672,0.18,1,STR,28752,1078
464,25440,54.828,0.159,1,XII,25440,464
132,4668,35.364,0.029,1,XII,4668,132
261,7989,30.609,0.05,1,XII,7989,261
217,21067,97.083,0.132,1,XII,21067,217
185,19499,105.4,0.122,1,XII,19499,185
185,19499,105.4,0.122,1,XII,19499,185
137,7728,56.409,0.048,1,XII,7728,137
1361,240759,176.899,1.505,10,DMV,24075.9,136.1
1648,30929,18.768,0.193,10,VTA,3092.9,164.8
1499,20837,13.901,0.13,10,VTA,2083.7,149.9
2609,121157,46.438,0.757,12,DMV,10096.416666666666,217.41666666666666
1452,243252,167.529,1.52,12,DMV,20271,121
2036,181101,88.949,1.132,12,VTA,15091.75,169.66666666666666
1082,198047,183.038,1.238,13,DMV,15234.384615384615,83.23076923076923
1007,160418,159.303,1.003,13,DMV,12339.846153846154,77.46153846153847
2753,56060,20.363,0.35,14,VTA,4004.285714285714,196.64285714285714
1094,191869,175.383,1.199,15,DMV,12791.266666666666,72.93333333333334
1677,218964,130.569,1.369,15,DMV,14597.6,111.8
1246,44860,36.003,0.28,2,DMV,22430,623
1652,63087,38.188,0.394,2,DMV,31543.5,826
1652,63087,38.188,0.394,2,DMV,31543.5,826
1865,58045,31.123,0.363,2,DMV,29022.5,932.5
1177,124906,106.122,0.781,2,DMV,62453,588.5
1397,65458,46.856,0.409,2,LC,32729,698.5
2070,79389,38.352,0.496,2,R,39694.5,1035
1566,45876,29.295,0.287,2,R,22938,783
2249,67371,29.956,0.421,2,R,33685.5,1124.5
2068,54200,26.209,0.339,2,R,27100,1034
2537,97244,38.33,0.608,2,R,48622,1268.5
1535,87175,17.052,0.164,2,SN,43587.5,767.5
1532,25525,16.661,0.16,2,STR,12762.5,766
706,11230,15.907,0.07,2,STR,5615,353
968,21210,21.911,0.133,2,STR,10605,484
526,6687,12.713,0.042,2,STR,3343.5,263
592,9977,16.853,0.062,2,STR,4988.5,296
137,7728,56.409,0.048,2,XII,3864,68.5
137,7728,56.409,0.048,2,XII,3864,68.5
2290,279722,122.149,1.748,20,DMV,13986.1,114.5
1828,298822,163.469,1.868,20,DMV,14941.1,91.4
2327,55261,23.748,0.345,20,VTA,2763.05,116.35
1411,271964,192.746,1.7,22,VTA,12362,64.13636363636364
1374,334786,243.658,2.092,23,DMV,14555.91304347826,59.73913043478261
1952,318510,163.171,1.991,24,VTA,13271.25,81.33333333333333
1411,271964,192.746,1.7,25,VTA,10878.56,56.44
2327,55261,23.748,0.345,26,VTA,2125.423076923077,89.5
2743,408211,148.819,2.551,28,DMV,14578.964285714286,97.96428571428571
2554,319804,125.217,1.999,28,VTA,11421.57142857143,91.21428571428571
2030,299952,147.76,1.875,29,VTA,10343.172413793103,70
1534,54218,35.344,0.339,3,DMV,18072.666666666668,511.3333333333333
1534,54218,35.344,0.339,3,DMV,18072.666666666668,511.3333333333333
852,47882,56.2,0.299,3,DMV,15960.666666666666,284
1865,58045,31.123,0.363,3,DMV,19348.333333333332,621.6666666666666
1206,142136,117.857,0.888,3,DMV,47378.666666666664,402
1206,142136,117.857,0.888,3,DMV,47378.666666666664,402
916,36022,39.325,0.225,3,LC,12007.333333333334,305.3333333333333
1123,99629,88.717,0.623,3,LC,33209.666666666664,374.3333333333333
1898,88897,46.837,0.556,3,LC,29632.333333333332,632.6666666666666
1898,88897,46.837,0.556,3,LC,29632.333333333332,632.6666666666666
1898,88897,46.837,0.556,3,LC,29632.333333333332,632.6666666666666
1840,117510,63.864,0.734,3,LC,39170,613.3333333333334
1333,51710,38.792,0.323,3,R,17236.666666666668,444.3333333333333
3362,151375,45.025,0.946,3,R,50458.333333333336,1120.6666666666667
1923,62874,32.696,0.393,3,R,20958,641
1828,84781,15.745,0.18,3,SN,28260.333333333332,609.3333333333334
2331,76572,13.973,0.204,3,SN,25524,777
1862,67143,10.818,0.126,3,SN,22381,620.6666666666666
3125,87638,14.924,0.291,3,SN,29212.666666666668,1041.6666666666667
646,10686,16.542,0.067,3,STR,3562,215.33333333333334
329,4297,13.061,0.027,3,STR,1432.3333333333333,109.66666666666667
2801,512122,182.835,3.201,35,VTA,14632.057142857142,80.02857142857142
2801,512122,182.835,3.201,35,VTA,14632.057142857142,80.02857142857142
1073,58068,54.117,0.363,4,DMV,14517,268.25
1526,109345,71.655,0.683,4,LC,27336.25,381.5
1623,64293,39.614,0.402,4,LC,16073.25,405.75
1252,49022,39.155,0.306,4,LC,12255.5,313
1262,48872,38.726,0.305,4,LC,12218,315.5
2779,93933,33.801,0.587,4,R,23483.25,694.75
2451,91697,37.412,0.573,4,R,22924.25,612.75
2326,84494,36.326,0.528,4,R,21123.5,581.5
1159,47799,17.946,0.13,4,SN,11949.75,289.75
2758,422027,153.019,2.638,48,VTA,8792.229166666666,57.458333333333336
2299,110646,48.128,0.692,5,LC,22129.2,459.8
1526,109345,71.655,0.683,5,LC,21869,305.2
2368,83141,35.11,0.52,5,LC,16628.2,473.6
1213,150606,124.16,0.941,5,LC,30121.2,242.6
1213,150606,124.16,0.941,5,LC,30121.2,242.6
3110,142259,45.742,0.889,5,R,28451.8,622
1529,53810,16.88,0.161,5,SN,10762,305.8
3637,427613,117.573,2.673,59,VTA,7247.677966101695,61.644067796610166
874,116237,132.994,0.726,6,DMV,19372.833333333332,145.66666666666666
874,116237,132.994,0.726,6,DMV,19372.833333333332,145.66666666666666
2298,114951,50.022,0.718,6,LC,19158.5,383
621,28766,17.337,0.067,6,SN,4794.333333333333,103.5
2138,419698,196.304,2.623,60,VTA,6994.966666666666,35.63333333333333
1619,129941,80.26,0.812,7,LC,18563,231.28571428571428
1208,751571,125.473,0.947,7,SN,107367.28571428571,172.57142857142858
2609,121157,46.438,0.757,8,DMV,15144.625,326.125
913,62684,68.657,0.392,8,DMV,7835.5,114.125
1146,164763,143.772,1.03,8,DMV,20595.375,143.25
2842,174727,61.48,1.092,8,LC,21840.875,355.25
2028,212451,104.759,1.328,8,LC,26556.375,253.5
1291,483814,119.143,0.961,8,SN,60476.75,161.375
1825,327782,70.018,0.799,8,SN,40972.75,228.125
1828,28781,15.745,0.18,8,SN,3597.625,228.5
3354,71346,21.272,0.446,8,STR,8918.25,419.25
856,14366,16.783,0.09,8,VTA,1795.75,107
1648,30929,18.768,0.193,8,VTA,3866.125,206
1310,17792,13.582,0.111,8,VTA,2224,163.75
2697,32687,12.12,0.204,8,VTA,4085.875,337.125
1987,173348,87.241,1.083,8,VTA,21668.5,248.375
1146,164763,143.772,1.03,9,DMV,18307,127.33333333333333
1648,30929,18.768,0.193,9,VTA,3436.5555555555557,183.11111111111111
